sectionCandidateId,fromStationCode,toStationCode,fromStationName,toStationName,routeName,division,zone,sequence,direction,distance,distanceStatus,sourceId,dataVersionId,verificationStatus,authorityLevel
SEC-MAF-TO-553a6f,MAF,TO,Manavur,Tiruvalangadu,West Line (MAS-JTJ),CHENNAI,SR,27,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TO-MSU-e28462,TO,MSU,Tiruvalangadu,Mosur,West Line (MAS-JTJ),CHENNAI,SR,28,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MSU-PLMG-1ef9e4,MSU,PLMG,Mosur,Puliyamangalam,West Line (MAS-JTJ),CHENNAI,SR,29,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-PLMG-AJJ-08e9af,PLMG,AJJ,Puliyamangalam,Arakkonam Junction,West Line (MAS-JTJ),CHENNAI,SR,30,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-AJJ-CTRE-2c8034,AJJ,CTRE,Arakkonam Junction,Chiteri,West Line (MAS-JTJ),CHENNAI,SR,31,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-CTRE-AVN-a90f77,CTRE,AVN,Chiteri,Anavardikhanpet,West Line (MAS-JTJ),CHENNAI,SR,32,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-AVN-MDVE-d231b3,AVN,MDVE,Anavardikhanpet,Mahendravadi,West Line (MAS-JTJ),CHENNAI,SR,33,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MDVE-SHU-7c6eb2,MDVE,SHU,Mahendravadi,Sholinghur,West Line (MAS-JTJ),CHENNAI,SR,34,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-SHU-TUG-af4e16,SHU,TUG,Sholinghur,Thalangai,West Line (MAS-JTJ),CHENNAI,SR,35,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-TUG-WJR-3e5c3f,TUG,WJR,Thalangai,Walajah Road Junction,West Line (MAS-JTJ),CHENNAI,SR,36,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-WJR-MCN-661feb,WJR,MCN,Walajah Road Junction,Mukundarayapuram,West Line (MAS-JTJ),CHENNAI,SR,37,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-MCN-THL-4008b0,MCN,THL,Mukundarayapuram,Tiruvalam,West Line (MAS-JTJ),CHENNAI,SR,38,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-THL-SVUR-c40aa8,THL,SVUR,Tiruvalam,Sevur,West Line (MAS-JTJ),CHENNAI,SR,39,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
SEC-SVUR-KPD-cd3b5c,SVUR,KPD,Sevur,Katpadi Junction,West Line (MAS-JTJ),CHENNAI,SR,40,FORWARD,,NOT_AVAILABLE,SR_DATASET,V1,NOT_VERIFIED,SECONDARY_REFERENCE
