route_line,from_station,to_station,sequence
Tirunelveli to Sengottai,SMD,KARK,5
Tirunelveli to Sengottai,KARK,VVR,6
Tirunelveli to Sengottai,VVR,KIC,7
Tirunelveli to Sengottai,KIC,ASD,8
Tirunelveli to Sengottai,ASD,KIB,9
Tirunelveli to Sengottai,KIB,AZK,10
Tirunelveli to Sengottai,AZK,RVS,11
Tirunelveli to Sengottai,RVS,KKY,12
Tirunelveli to Sengottai,KKY,MTE,13
Tirunelveli to Sengottai,MTE,PCM,14
Tirunelveli to Sengottai,PCM,KYZ,15
Tirunelveli to Sengottai,KYZ,TSI,16
Tirunelveli to Sengottai,TSI,SCT,17
Tirunelveli to Tiruchendur,TEN,PCO,2
Tirunelveli to Tiruchendur,PCO,SDNR,3
Tirunelveli to Tiruchendur,SDNR,TTQ,4
Tirunelveli to Tiruchendur,TTQ,SVV,5
Tirunelveli to Tiruchendur,SVV,AWT,6
Tirunelveli to Tiruchendur,AWT,NZT,7
Tirunelveli to Tiruchendur,NZT,KCHV,8
Tirunelveli to Tiruchendur,KCHV,KZB,9
Tirunelveli to Tiruchendur,KZB,ANY,10
Tirunelveli to Tiruchendur,ANY,KZY,11
Tirunelveli to Tiruchendur,KZY,TCN,12
Madurai Junction–Bodinayakanur,MDU,VAJ,2
Madurai Junction–Bodinayakanur,VAJ,USLP,3
Madurai Junction–Bodinayakanur,USLP,ADPT,4
Madurai Junction–Bodinayakanur,ADPT,TENI,5
Madurai Junction–Bodinayakanur,TENI,BDNK,6
Vanchi Maniyachchi Junction – Tuticorin,MEJ,KLPM,2
Vanchi Maniyachchi Junction – Tuticorin,KLPM,TIP,3
Vanchi Maniyachchi Junction – Tuticorin,TIP,MVN,4
Vanchi Maniyachchi Junction – Tuticorin,MVN,TME,5
Vanchi Maniyachchi Junction – Tuticorin,TME,TN,6
Manamadurai-Virudhunagar,MNM,NKK,2
Manamadurai-Virudhunagar,NKK,TCH,3
Manamadurai-Virudhunagar,TCH,APK,4
Manamadurai-Virudhunagar,APK,VPT,5
Manamadurai-Trichy (via Karaikkudi),MNM,MEKM,2
Manamadurai-Trichy (via Karaikkudi),MEKM,SVGA,3
Manamadurai-Trichy (via Karaikkudi),SVGA,PNGI,4
Manamadurai-Trichy (via Karaikkudi),PNGI,KAL,5
Manamadurai-Trichy (via Karaikkudi),KAL,DKO,6
Manamadurai-Trichy (via Karaikkudi),DKO,KKDI,7
Manamadurai-Trichy (via Karaikkudi),KKDI,KTYR,8
Manamadurai-Trichy (via Karaikkudi),KTYR,CTND,9
Manamadurai-Trichy (via Karaikkudi),CTND,TYM,10
Manamadurai-Trichy (via Karaikkudi),TYM,NMN,11
Manamadurai-Trichy (via Karaikkudi),NMN,PDKT,12
Manamadurai-Trichy (via Karaikkudi),PDKT,VEL,13
Manamadurai-Trichy (via Karaikkudi),VEL,KRUR,14
Manamadurai-Trichy (via Karaikkudi),KRUR,KRMG,15
Manamadurai-Trichy (via Karaikkudi),KRMG,TPJ,16
Villupuram-Trichy Chord,VM,TVNL,2
Villupuram-Trichy Chord,TVNL,PRT,3
Villupuram-Trichy Chord,PRT,ULU,4
Villupuram-Trichy Chord,ULU,PVN,5
Villupuram-Trichy Chord,PVN,VRI,6
Villupuram-Trichy Chord,VRI,VRT,7
Villupuram-Trichy Chord,VRT,PNDM,8
Villupuram-Trichy Chord,PNDM,ICG,9
Villupuram-Trichy Chord,ICG,MTUR,10
Villupuram-Trichy Chord,MTUR,SNDI,11
Villupuram-Trichy Chord,SNDI,ALU,12
Villupuram-Trichy Chord,ALU,SLTH,13
Villupuram-Trichy Chord,SLTH,KLGM,14
Villupuram-Trichy Chord,KLGM,KKPM,15
Villupuram-Trichy Chord,KKPM,PMB,16
Villupuram-Trichy Chord,PMB,KTTR,17
Villupuram-Trichy Chord,KTTR,LLI,18
Villupuram-Trichy Chord,LLI,VLDE,19
Villupuram-Trichy Chord,VLDE,BXS,20
Villupuram-Trichy Chord,BXS,UKV,21
Villupuram-Trichy Chord,UKV,SRGM,22
Villupuram-Trichy Chord,SRGM,TPTN,23
Villupuram-Trichy Chord,TPTN,GOC,24
Villupuram-Trichy Chord,GOC,TPJ,25
Main Line (VM-MV-TPJ),VM,VRA,2
Main Line (VM-MV-TPJ),VRA,TDPR,3
Main Line (VM-MV-TPJ),TDPR,CUPJ,4
Main Line (VM-MV-TPJ),CUPJ,ALP,5
Main Line (VM-MV-TPJ),ALP,PO,6
Main Line (VM-MV-TPJ),PO,KII,7
Main Line (VM-MV-TPJ),KII,CDM,8
Main Line (VM-MV-TPJ),CDM,VMP,9
Main Line (VM-MV-TPJ),VMP,CLN,10
Main Line (VM-MV-TPJ),CLN,SY,11
Main Line (VM-MV-TPJ),SY,VDL,12
Main Line (VM-MV-TPJ),VDL,ANP,13
Main Line (VM-MV-TPJ),ANP,NID,14
Main Line (VM-MV-TPJ),NID,MV,15
Main Line (VM-MV-TPJ),MV,KTM,16
Main Line (VM-MV-TPJ),KTM,NPT,17
Main Line (VM-MV-TPJ),NPT,ADT,18
Main Line (VM-MV-TPJ),ADT,TRM,19
Main Line (VM-MV-TPJ),TRM,TRR,20
Main Line (VM-MV-TPJ),TRR,KMU,21
Main Line (VM-MV-TPJ),KMU,DSM,22
Main Line (VM-MV-TPJ),DSM,SWI,23
Main Line (VM-MV-TPJ),SWI,SPL,24
Main Line (VM-MV-TPJ),SPL,PML,25
Main Line (VM-MV-TPJ),PML,PDV,26
Main Line (VM-MV-TPJ),PDV,AZP,27
Main Line (VM-MV-TPJ),AZP,PVL,28
Main Line (VM-MV-TPJ),PVL,TT,29
Main Line (VM-MV-TPJ),TT,TJ,30
Main Line (VM-MV-TPJ),TJ,ALK,31
Main Line (VM-MV-TPJ),ALK,BAL,32
Main Line (VM-MV-TPJ),BAL,AYN,33
Main Line (VM-MV-TPJ),AYN,SGM,34
Main Line (VM-MV-TPJ),SGM,TOM,35
Main Line (VM-MV-TPJ),TOM,TRB,36
Main Line (VM-MV-TPJ),TRB,MCJ,37
Main Line (VM-MV-TPJ),MCJ,GOC,38
Main Line (VM-MV-TPJ),GOC,TPJ,39
Thanjavur-Karaikal-Velankanni,TJ,KXO,2
Thanjavur-Karaikal-Velankanni,KXO,SMM,3
Thanjavur-Karaikal-Velankanni,SMM,AMT,4
Thanjavur-Karaikal-Velankanni,AMT,KYV,5
Thanjavur-Karaikal-Velankanni,KYV,NMJ,6
Thanjavur-Karaikal-Velankanni,NMJ,KDE,7
Thanjavur-Karaikal-Velankanni,KDE,TMU,8
Thanjavur-Karaikal-Velankanni,TMU,KU,9
Thanjavur-Karaikal-Velankanni,KU,TVR,10
Thanjavur-Karaikal-Velankanni,TVR,AYM,11
Thanjavur-Karaikal-Velankanni,AYM,KOQ,12
Thanjavur-Karaikal-Velankanni,KOQ,SKK,13
Thanjavur-Karaikal-Velankanni,SKK,NGT,14
Thanjavur-Karaikal-Velankanni,NGT,APE,15
Thanjavur-Karaikal-Velankanni,APE,NCR,16
Thanjavur-Karaikal-Velankanni,NCR,TMPT,17
Thanjavur-Karaikal-Velankanni,TMPT,KIK,18
Thanjavur-Karaikal-Velankanni,KIK,VLNK,19
Villupuram-Katpadi Branch,VM,VKM,2
Villupuram-Katpadi Branch,VKM,MMP,3
Villupuram-Katpadi Branch,MMP,AYD,4
Villupuram-Katpadi Branch,AYD,TRK,5
Villupuram-Katpadi Branch,TRK,ACN,6
Villupuram-Katpadi Branch,ACN,AND,7
Villupuram-Katpadi Branch,AND,TNI,8
Villupuram-Katpadi Branch,TNI,TNM,9
Villupuram-Katpadi Branch,TNM,TJM,10
Villupuram-Katpadi Branch,TJM,AGM,11
Villupuram-Katpadi Branch,AGM,PRL,12
Villupuram-Katpadi Branch,PRL,ARV,13
Villupuram-Katpadi Branch,ARV,MCL,14
Villupuram-Katpadi Branch,MCL,SDPT,15
Villupuram-Katpadi Branch,SDPT,OPM,16
Villupuram-Katpadi Branch,OPM,KMM,17
Villupuram-Katpadi Branch,KMM,KNB,18
Villupuram-Katpadi Branch,KNB,PNTR,19
Villupuram-Katpadi Branch,PNTR,VLR,20
Villupuram-Katpadi Branch,VLR,KPD,21
Karaikkudi-Tiruvarur,KKDI,KNPL,2
Karaikkudi-Tiruvarur,KNPL,VMM,3
Karaikkudi-Tiruvarur,VMM,ATQ,4
Karaikkudi-Tiruvarur,ATQ,AYI,5
Karaikkudi-Tiruvarur,AYI,PVI,6
Karaikkudi-Tiruvarur,PVI,PKT,7
Karaikkudi-Tiruvarur,PKT,AMM,8
Karaikkudi-Tiruvarur,AMM,MTT,9
Karaikkudi-Tiruvarur,MTT,TAM,10
Karaikkudi-Tiruvarur,TAM,TTP,11
Karaikkudi-Tiruvarur,TTP,ATB,12
Karaikkudi-Tiruvarur,ATB,MNLI,13
Karaikkudi-Tiruvarur,MNLI,AMNR,14
Karaikkudi-Tiruvarur,AMNR,TNK,15
Karaikkudi-Tiruvarur,TNK,MARD,16
Karaikkudi-Tiruvarur,MARD,MAX,17
Karaikkudi-Tiruvarur,MAX,TVR,18
Villupuram-Puducherry,VM,CBU,2
Villupuram-Puducherry,CBU,VI,3
Villupuram-Puducherry,VI,PDY,4
Nidamangalam-Mannargudi,NMJ,MQ,2
Mayiladuthurai to Thiruvarur,MV,PEM,2
Mayiladuthurai to Thiruvarur,PEM,POM,3
Mayiladuthurai to Thiruvarur,POM,NNM,4
Mayiladuthurai to Thiruvarur,NNM,TVR,5
Peralam to Karaikal,PEM,ABT,2
Peralam to Karaikal,ABT,PCD,3
Peralam to Karaikal,PCD,TXR,4
Peralam to Karaikal,TXR,KVPT,5
Peralam to Karaikal,KVPT,KIK,6
