route_line,from_station,to_station,sequence
Kanchipuram Line (AJJ-CGL),VB,RDY,11
Kanchipuram Line (AJJ-CGL),RDY,CGL,12
Arakkonam-Renigunta Border,AJJ,TRT,2
Arakkonam-Renigunta Border,TRT,POI,3
Arakkonam-Renigunta Border,POI,VKZ,4
Arakkonam-Renigunta Border,VKZ,NG,5
Arakkonam-Renigunta Border,NG,EKM,6
Arakkonam-Renigunta Border,EKM,VGA,7
Arakkonam-Renigunta Border,VGA,PUT,8
Arakkonam-Renigunta Border,PUT,TDK,9
Arakkonam-Renigunta Border,TDK,PUDI,10
Main Line (JTJ-SA-ED-CBE),JTJ,TPT,2
Main Line (JTJ-SA-ED-CBE),TPT,MOLK,3
Main Line (JTJ-SA-ED-CBE),MOLK,KEY,4
Main Line (JTJ-SA-ED-CBE),KEY,KNNT,5
Main Line (JTJ-SA-ED-CBE),KNNT,SLY,6
Main Line (JTJ-SA-ED-CBE),SLY,DST,7
Main Line (JTJ-SA-ED-CBE),DST,DPI,8
Main Line (JTJ-SA-ED-CBE),DPI,MAP,9
Main Line (JTJ-SA-ED-CBE),MAP,TNGR,10
Main Line (JTJ-SA-ED-CBE),TNGR,BDY,11
Main Line (JTJ-SA-ED-CBE),BDY,BQI,12
Main Line (JTJ-SA-ED-CBE),BQI,LCR,13
Main Line (JTJ-SA-ED-CBE),LCR,DSPT,14
Main Line (JTJ-SA-ED-CBE),DSPT,TNT,15
Main Line (JTJ-SA-ED-CBE),TNT,KPPR,16
Main Line (JTJ-SA-ED-CBE),KPPR,MGSJ,17
Main Line (JTJ-SA-ED-CBE),MGSJ,SA,18
Main Line (JTJ-SA-ED-CBE),SA,NEA,19
Main Line (JTJ-SA-ED-CBE),NEA,VRPD,20
Main Line (JTJ-SA-ED-CBE),VRPD,DC,21
Main Line (JTJ-SA-ED-CBE),DC,MVPM,22
Main Line (JTJ-SA-ED-CBE),MVPM,SGE,23
Main Line (JTJ-SA-ED-CBE),SGE,ANU,24
Main Line (JTJ-SA-ED-CBE),ANU,CV,25
Main Line (JTJ-SA-ED-CBE),CV,ED,26
Main Line (JTJ-SA-ED-CBE),ED,TPM,27
Main Line (JTJ-SA-ED-CBE),TPM,PY,28
Main Line (JTJ-SA-ED-CBE),PY,IGR,29
Main Line (JTJ-SA-ED-CBE),IGR,VZ,30
Main Line (JTJ-SA-ED-CBE),VZ,UKL,31
Main Line (JTJ-SA-ED-CBE),UKL,KUY,32
Main Line (JTJ-SA-ED-CBE),KUY,TUP,33
Main Line (JTJ-SA-ED-CBE),TUP,VNJ,34
Main Line (JTJ-SA-ED-CBE),VNJ,SNO,35
Main Line (JTJ-SA-ED-CBE),SNO,SUU,36
Main Line (JTJ-SA-ED-CBE),SUU,IGU,37
Main Line (JTJ-SA-ED-CBE),IGU,SIH,38
Main Line (JTJ-SA-ED-CBE),SIH,PLMD,39
Main Line (JTJ-SA-ED-CBE),PLMD,CBF,40
Main Line (JTJ-SA-ED-CBE),CBF,CBE,41
Salem-Namakkal-Karur-Dindigul,SA,MALR,2
Salem-Namakkal-Karur-Dindigul,MALR,RASP,3
