division,route_line,sequence,station_code,orig_station_name,normalized_name,distance
CHENNAI,South Line (MS-VM),1,MS,Chennai Egmore,chennai egmore,
CHENNAI,South Line (MS-VM),2,MSC,Chetpet,chetpet,
CHENNAI,South Line (MS-VM),3,NBK,Nungambakkam,nungambakkam,
CHENNAI,South Line (MS-VM),4,MKK,Kodambakkam,kodambakkam,
CHENNAI,South Line (MS-VM),5,MBM,Mambalam,mambalam,
CHENNAI,South Line (MS-VM),6,SP,Saidapet,saidapet,
CHENNAI,South Line (MS-VM),7,GDY,Guindy,guindy,
CHENNAI,South Line (MS-VM),8,STM,St Thomas Mount,st thomas mount,
CHENNAI,South Line (MS-VM),9,PZA,Palavanthangal,palavanthangal,
CHENNAI,South Line (MS-VM),10,MN,Minambakkam,minambakkam,
CHENNAI,South Line (MS-VM),11,TLM,Tirusulam,tirusulam,
CHENNAI,South Line (MS-VM),12,PV,Pallavaram,pallavaram,
CHENNAI,South Line (MS-VM),13,CMP,Chromepet,chromepet,
CHENNAI,South Line (MS-VM),14,TBMS,Tambaram Sanatorium,tambaram sanatorium,
CHENNAI,South Line (MS-VM),15,TBM,Tambaram,tambaram,
CHENNAI,South Line (MS-VM),16,PRGL,Perungalathur,perungalathur,
CHENNAI,South Line (MS-VM),17,VDR,Vandalur,vandalur,
CHENNAI,South Line (MS-VM),18,UPM,Urappakkam,urappakkam,
CHENNAI,South Line (MS-VM),19,GI,Guduvancheri,guduvancheri,
CHENNAI,South Line (MS-VM),20,POTI,Potheri,potheri,
CHENNAI,South Line (MS-VM),21,CTM,Katangulattur,katangulattur,
CHENNAI,South Line (MS-VM),22,MMNK,Maraimalai Nagar Kamarajar,maraimalai nagar kamarajar,
CHENNAI,South Line (MS-VM),23,SKL,Singaperumal Koil,singaperumal koil,
CHENNAI,South Line (MS-VM),24,PWU,Paranur,paranur,
CHENNAI,South Line (MS-VM),25,CGL,Chengalpattu Junction,chengalpattu junction,
CHENNAI,South Line (MS-VM),26,TRM,Tirumani,tirumani,
CHENNAI,South Line (MS-VM),27,OV,Otivakkam,otivakkam,
CHENNAI,South Line (MS-VM),28,PTM,Padalam,padalam,
CHENNAI,South Line (MS-VM),29,KGZ,Karunguzhi,karunguzhi,
CHENNAI,South Line (MS-VM),30,MMK,Madurantakam,madurantakam,
CHENNAI,South Line (MS-VM),31,PAK,Pakkam,pakkam,
CHENNAI,South Line (MS-VM),32,MLMR,Melmaruvathur,melmaruvathur,
CHENNAI,South Line (MS-VM),33,ACK,Acharapakkam,acharapakkam,
CHENNAI,South Line (MS-VM),34,TZD,Tozhuppu,tozhuppu,
CHENNAI,South Line (MS-VM),35,OLA,Olakkur,olakkur,
CHENNAI,South Line (MS-VM),36,TMV,Tindivanam,tindivanam,
CHENNAI,South Line (MS-VM),37,MTL,Mailam,mailam,
CHENNAI,South Line (MS-VM),38,PEI,Perani,perani,
CHENNAI,South Line (MS-VM),39,VV,Vikravandi,vikravandi,
CHENNAI,MRTS (MSB-VLCY),1,MSB,Chennai Beach,chennai beach,
CHENNAI,MRTS (MSB-VLCY),2,MSF,Chennai Fort,chennai fort,
CHENNAI,MRTS (MSB-VLCY),3,MPK,Chennai Park Town,chennai park town,
CHENNAI,MRTS (MSB-VLCY),4,MCPT,Chintadripet,chintadripet,
CHENNAI,MRTS (MSB-VLCY),5,MCPK,Chepauk,chepauk,
CHENNAI,MRTS (MSB-VLCY),6,MTCN,Tirullikeni,tirullikeni,
CHENNAI,MRTS (MSB-VLCY),7,MLHS,Light House,light house,
CHENNAI,MRTS (MSB-VLCY),8,MKAK,Mundakakanni Amman Koil,mundakakanni amman koil,
CHENNAI,MRTS (MSB-VLCY),9,MTMY,Thirumayilai,thirumayilai,
CHENNAI,MRTS (MSB-VLCY),10,MNDY,Mandaveli,mandaveli,
CHENNAI,MRTS (MSB-VLCY),11,GWYR,Greenways Road,greenways road,
CHENNAI,MRTS (MSB-VLCY),12,KTPM,Kotturpuram,kotturpuram,
CHENNAI,MRTS (MSB-VLCY),13,KTBR,Kasturibai Nagar,kasturibai nagar,
CHENNAI,MRTS (MSB-VLCY),14,INDR,Indira Nagar,indira nagar,
CHENNAI,MRTS (MSB-VLCY),15,TYMR,Tiruvanmiyur,tiruvanmiyur,
CHENNAI,MRTS (MSB-VLCY),16,TRMN,Taramani,taramani,
CHENNAI,MRTS (MSB-VLCY),17,PRGD,Perungudi,perungudi,
CHENNAI,MRTS (MSB-VLCY),18,VLCY,Velachery,velachery,
CHENNAI,Kanchipuram Line (AJJ-CGL),1,AJJ,Arakkonam Junction,arakkonam junction,
CHENNAI,Kanchipuram Line (AJJ-CGL),2,TKO,Takkolam,takkolam,
CHENNAI,Kanchipuram Line (AJJ-CGL),3,TMLP,Tirumalpur,tirumalpur,
CHENNAI,Kanchipuram Line (AJJ-CGL),4,CJ,Kanchipuram,kanchipuram,
CHENNAI,Kanchipuram Line (AJJ-CGL),5,CJE,Kanchipuram East,kanchipuram east,
CHENNAI,Kanchipuram Line (AJJ-CGL),6,NTT,Nathapettai,nathapettai,
CHENNAI,Kanchipuram Line (AJJ-CGL),7,WJ,Walajabad,walajabad,
CHENNAI,Kanchipuram Line (AJJ-CGL),8,PYV,Pazhaya Seevaram,pazhaya seevaram,
CHENNAI,Kanchipuram Line (AJJ-CGL),9,PALR,Palur,palur,
CHENNAI,Kanchipuram Line (AJJ-CGL),10,VB,Villiyambakkam,villiyambakkam,
CHENNAI,Kanchipuram Line (AJJ-CGL),11,RDY,Reddipalaiyam,reddipalaiyam,
CHENNAI,Kanchipuram Line (AJJ-CGL),12,CGL,Chengalpattu Junction,chengalpattu junction,
CHENNAI,Arakkonam-Renigunta Border,1,AJJ,Arakkonam Junction,arakkonam junction,
CHENNAI,Arakkonam-Renigunta Border,2,TRT,Tiruttani,tiruttani,
CHENNAI,Arakkonam-Renigunta Border,3,POI,Ponpadi,ponpadi,
CHENNAI,Arakkonam-Renigunta Border,4,VKZ,Venkatanarasimharajuvaripeta,venkatanarasimharajuvaripeta,
CHENNAI,Arakkonam-Renigunta Border,5,NG,Nagari,nagari,
CHENNAI,Arakkonam-Renigunta Border,6,EKM,Ekambarakuppam,ekambarakuppam,
CHENNAI,Arakkonam-Renigunta Border,7,VGA,Vepagunta,vepagunta,
CHENNAI,Arakkonam-Renigunta Border,8,PUT,Puttur,puttur,
CHENNAI,Arakkonam-Renigunta Border,9,TDK,Taduku,taduku,
CHENNAI,Arakkonam-Renigunta Border,10,PUDI,Pudi,pudi,
SALEM,Main Line (JTJ-SA-ED-CBE),1,JTJ,Jolarpettai Junction,jolarpettai junction,
SALEM,Main Line (JTJ-SA-ED-CBE),2,TPT,Tirupattur,tirupattur,
SALEM,Main Line (JTJ-SA-ED-CBE),3,MOLK,Molakarampatti,molakarampatti,
SALEM,Main Line (JTJ-SA-ED-CBE),4,KEY,Kagankarai,kagankarai,
SALEM,Main Line (JTJ-SA-ED-CBE),5,KNNT,Kunnathur,kunnathur,
SALEM,Main Line (JTJ-SA-ED-CBE),6,SLY,Samalpatti,samalpatti,
SALEM,Main Line (JTJ-SA-ED-CBE),7,DST,Dasampatti,dasampatti,
SALEM,Main Line (JTJ-SA-ED-CBE),8,DPI,Doddampatti,doddampatti,
SALEM,Main Line (JTJ-SA-ED-CBE),9,MAP,Morappur,morappur,
SALEM,Main Line (JTJ-SA-ED-CBE),10,TNGR,Thonganur,thonganur,
SALEM,Main Line (JTJ-SA-ED-CBE),11,BDY,Buddireddipatti,buddireddipatti,
SALEM,Main Line (JTJ-SA-ED-CBE),12,BQI,Bommidi,bommidi,
SALEM,Main Line (JTJ-SA-ED-CBE),13,LCR,Lokur,lokur,
SALEM,Main Line (JTJ-SA-ED-CBE),14,DSPT,Danishpet,danishpet,
SALEM,Main Line (JTJ-SA-ED-CBE),15,TNT,Tinnappatti,tinnappatti,
SALEM,Main Line (JTJ-SA-ED-CBE),16,KPPR,Karuppur,karuppur,
SALEM,Main Line (JTJ-SA-ED-CBE),17,MGSJ,Magnesite Junction,magnesite junction,
SALEM,Main Line (JTJ-SA-ED-CBE),18,SA,Salem Junction,salem junction,
SALEM,Main Line (JTJ-SA-ED-CBE),19,NEA,Neykkarapatti,neykkarapatti,
SALEM,Main Line (JTJ-SA-ED-CBE),20,VRPD,Virapandy Road,virapandy road,
SALEM,Main Line (JTJ-SA-ED-CBE),21,DC,Magudanchavadi,magudanchavadi,
SALEM,Main Line (JTJ-SA-ED-CBE),22,MVPM,Mavelipalayam,mavelipalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),23,SGE,Sankaridurg,sankaridurg,
SALEM,Main Line (JTJ-SA-ED-CBE),24,ANU,Anangur,anangur,
SALEM,Main Line (JTJ-SA-ED-CBE),25,CV,Cauvery,cauvery,
SALEM,Main Line (JTJ-SA-ED-CBE),26,ED,Erode Junction,erode junction,
SALEM,Main Line (JTJ-SA-ED-CBE),27,TPM,Totiyapalayam,totiyapalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),28,PY,Perundurai,perundurai,
SALEM,Main Line (JTJ-SA-ED-CBE),29,IGR,Ingur,ingur,
SALEM,Main Line (JTJ-SA-ED-CBE),30,VZ,Vijayamangalam,vijayamangalam,
SALEM,Main Line (JTJ-SA-ED-CBE),31,UKL,Uttukuli,uttukuli,
SALEM,Main Line (JTJ-SA-ED-CBE),32,KUY,Kulipalayam,kulipalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),33,TUP,Tiruppur,tiruppur,
SALEM,Main Line (JTJ-SA-ED-CBE),34,VNJ,Vanjipalayam,vanjipalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),35,SNO,Somanur,somanur,
SALEM,Main Line (JTJ-SA-ED-CBE),36,SUU,Sulur Road,sulur road,
SALEM,Main Line (JTJ-SA-ED-CBE),37,IGU,Irugur Junction,irugur junction,
SALEM,Main Line (JTJ-SA-ED-CBE),38,SIH,Singanallur,singanallur,
SALEM,Main Line (JTJ-SA-ED-CBE),39,PLMD,Pilamedu,pilamedu,
SALEM,Main Line (JTJ-SA-ED-CBE),40,CBF,Coimbatore North Junction,coimbatore north junction,
SALEM,Main Line (JTJ-SA-ED-CBE),41,CBE,Coimbatore Junction,coimbatore junction,
SALEM,Salem-Namakkal-Karur-Dindigul,1,SA,Salem Junction,salem junction,
SALEM,Salem-Namakkal-Karur-Dindigul,2,MALR,Mallur,mallur,
SALEM,Salem-Namakkal-Karur-Dindigul,3,RASP,Rasipuram,rasipuram,
SALEM,Salem-Namakkal-Karur-Dindigul,4,KLGN,Kalangani,kalangani,
SALEM,Salem-Namakkal-Karur-Dindigul,5,NMKL,Namakkal,namakkal,
SALEM,Salem-Namakkal-Karur-Dindigul,6,MONR,Mohanur,mohanur,
SALEM,Salem-Namakkal-Karur-Dindigul,7,VNGL,Vangal,vangal,
SALEM,Salem-Namakkal-Karur-Dindigul,8,KRR,Karur Junction,karur junction,
SALEM,Salem-Namakkal-Karur-Dindigul,9,VEI,Velliyanai,velliyanai,
SALEM,Salem-Namakkal-Karur-Dindigul,10,PALM,Palaiyam,palaiyam,
SALEM,Salem-Namakkal-Karur-Dindigul,11,ERI,Eriodu,eriodu,
SALEM,Salem-Namakkal-Karur-Dindigul,12,DG,Dindigul Junction,dindigul junction,
SALEM,Erode-Trichy via Karur,1,ED,Erode Junction,erode junction,
SALEM,Erode-Trichy via Karur,2,CVD,Chavadipalaiyam,chavadipalaiyam,
SALEM,Erode-Trichy via Karur,3,PAS,Pasur,pasur,
SALEM,Erode-Trichy via Karur,4,URL,Unjalur,unjalur,
SALEM,Erode-Trichy via Karur,5,KMD,Kodumudi,kodumudi,
SALEM,Erode-Trichy via Karur,6,PGR,Pugalur,pugalur,
SALEM,Erode-Trichy via Karur,7,MPLM,Murthipalayam,murthipalayam,
SALEM,Erode-Trichy via Karur,8,KRR,Karur Junction,karur junction,
SALEM,Erode-Trichy via Karur,9,VRQ,Virarakkiyam,virarakkiyam,
SALEM,Erode-Trichy via Karur,10,MYU,Mayanoor,mayanoor,
SALEM,Erode-Trichy via Karur,11,SEV,Sithalavai,sithalavai,
SALEM,Erode-Trichy via Karur,12,MMH,Mahadanapuram,mahadanapuram,
SALEM,Erode-Trichy via Karur,13,LP,Lalapet,lalapet,
SALEM,Erode-Trichy via Karur,14,TIC,Timmachipuram,timmachipuram,
SALEM,Erode-Trichy via Karur,15,KLT,Kulitalai,kulitalai,
SALEM,Erode-Trichy via Karur,16,PLI,Pettaivaytalai,pettaivaytalai,
SALEM,Erode-Trichy via Karur,17,PGN,Perugamani,perugamani,
SALEM,Erode-Trichy via Karur,18,EL,Elamanur,elamanur,
SALEM,Erode-Trichy via Karur,19,JPM,Jiyapuram,jiyapuram,
SALEM,Erode-Trichy via Karur,20,MTNL,Muttarasanallur,muttarasanallur,
SALEM,Erode-Trichy via Karur,21,TP,Tiruchirappalli Fort,tiruchirappalli fort,
SALEM,Erode-Trichy via Karur,22,TPE,Tiruchchirappalli Palakkarai,tiruchchirappalli palakkarai,
SALEM,Erode-Trichy via Karur,23,TPJ,Tiruchirappalli Junction,tiruchirappalli junction,
SALEM,Salem-Vridhachalam,1,SA,Salem Junction,salem junction,
SALEM,Salem-Vridhachalam,2,SXT,Salem Town,salem town,
SALEM,Salem-Vridhachalam,3,APN,Ayodhyapattanam,ayodhyapattanam,
SALEM,Salem-Vridhachalam,4,MPL,Minnampalli,minnampalli,
SALEM,Salem-Vridhachalam,5,VGE,Valappadi Gate,valappadi gate,
SALEM,Salem-Vridhachalam,6,ETP,Ettapur Road,ettapur road,
SALEM,Salem-Vridhachalam,7,PDKM,Pedanayakanpalayam,pedanayakanpalayam,
SALEM,Salem-Vridhachalam,8,ATU,Attur,attur,
SALEM,Salem-Vridhachalam,9,TVS,Talaivasal,talaivasal,
SALEM,Salem-Vridhachalam,10,MLYR,Melnariyappanur,melnariyappanur,
SALEM,Salem-Vridhachalam,11,CHSM,Chinna Salem,chinna salem,
SALEM,Salem-Vridhachalam,12,SRVT,Siruvattur,siruvattur,
SALEM,Salem-Vridhachalam,13,PRV,Pukkiravari,pukkiravari,
SALEM,Salem-Vridhachalam,14,KKTI,Kuttakudi,kuttakudi,
SALEM,Salem-Vridhachalam,15,MKSP,Mukhasaparur,mukhasaparur,
SALEM,Salem-Vridhachalam,16,VRI,Vridhachalam Junction,vridhachalam junction,
SALEM,Salem-KSR Bengaluru (via DPJ),1,SA,Salem Junction,salem junction,0.0
SALEM,Salem-KSR Bengaluru (via DPJ),2,OML,Omalur Junction,omalur junction,11.0
SALEM,Salem-KSR Bengaluru (via DPJ),3,TGN,Tholasampatti,tholasampatti,19.0
SALEM,Salem-KSR Bengaluru (via DPJ),4,TOP,Toppur,toppur,34.0
SALEM,Salem-KSR Bengaluru (via DPJ),5,DPJ,Dharmappuri,dharmappuri,66.0
SALEM,Salem-KSR Bengaluru (via DPJ),6,PCV,Palakkodu,palakkodu,92.0
SALEM,Salem-KSR Bengaluru (via DPJ),7,RYC,Rayakottai,rayakottai,124.0
SALEM,Salem-KSR Bengaluru (via DPJ),8,HSRA,Hosur,hosur,159.0
SALEM,Salem-KSR Bengaluru (via DPJ),9,AQL,Anekal Road,anekal road,173.0
SALEM,Salem-KSR Bengaluru (via DPJ),10,HLE,Heelalige,heelalige,183.0
SALEM,Salem-KSR Bengaluru (via DPJ),11,CRLM,Carmelaram,carmelaram,193.0
SALEM,Salem-KSR Bengaluru (via DPJ),12,BYPL,Baiyappanahalli,baiyappanahalli,200.0
SALEM,Salem-KSR Bengaluru (via DPJ),13,BNCE,Bengaluru East,bengaluru east,203.0
SALEM,Salem-KSR Bengaluru (via DPJ),14,BNC,Bengaluru Cantt.,bengaluru cantt,205.0
SALEM,Salem-KSR Bengaluru (via DPJ),15,SBC,KSR Bengaluru City,ksr bengaluru city,209.0
SALEM,Salem-SMVT Bengaluru (via DPJ),1,SA,Salem Junction,salem junction,0.0
SALEM,Salem-SMVT Bengaluru (via DPJ),2,OML,Omalur Junction,omalur junction,11.0
SALEM,Salem-SMVT Bengaluru (via DPJ),3,TGN,Tholasampatti,tholasampatti,19.0
SALEM,Salem-SMVT Bengaluru (via DPJ),4,TOP,Toppur,toppur,34.0
SALEM,Salem-SMVT Bengaluru (via DPJ),5,DPJ,Dharmappuri,dharmappuri,66.0
SALEM,Salem-SMVT Bengaluru (via DPJ),6,PCV,Palakkodu,palakkodu,92.0
SALEM,Salem-SMVT Bengaluru (via DPJ),7,RYC,Rayakottai,rayakottai,124.0
SALEM,Salem-SMVT Bengaluru (via DPJ),8,HSRA,Hosur,hosur,159.0
SALEM,Salem-SMVT Bengaluru (via DPJ),9,AQL,Anekal Road,anekal road,173.0
SALEM,Salem-SMVT Bengaluru (via DPJ),10,HLE,Heelalige,heelalige,183.0
SALEM,Salem-SMVT Bengaluru (via DPJ),11,CRLM,Carmelaram,carmelaram,193.0
SALEM,Salem-SMVT Bengaluru (via DPJ),12,BYPL,Baiyappanahalli,baiyappanahalli,200.0
SALEM,Salem-SMVT Bengaluru (via DPJ),13,SMVB,SMVT Bengaluru,smvt bengaluru,211.0
SALEM,Salem-Yesvantpur (via DPJ),1,SA,Salem Junction,salem junction,0.0
SALEM,Salem-Yesvantpur (via DPJ),2,OML,Omalur Junction,omalur junction,11.0
SALEM,Salem-Yesvantpur (via DPJ),3,TGN,Tholasampatti,tholasampatti,19.0
SALEM,Salem-Yesvantpur (via DPJ),4,TOP,Toppur,toppur,34.0
SALEM,Salem-Yesvantpur (via DPJ),5,DPJ,Dharmappuri,dharmappuri,66.0
SALEM,Salem-Yesvantpur (via DPJ),6,PCV,Palakkodu,palakkodu,92.0
SALEM,Salem-Yesvantpur (via DPJ),7,RYC,Rayakottai,rayakottai,124.0
SALEM,Salem-Yesvantpur (via DPJ),8,HSRA,Hosur,hosur,159.0
SALEM,Salem-Yesvantpur (via DPJ),9,AQL,Anekal Road,anekal road,173.0
SALEM,Salem-Yesvantpur (via DPJ),10,HLE,Heelalige,heelalige,183.0
SALEM,Salem-Yesvantpur (via DPJ),11,CRLM,Carmelaram,carmelaram,193.0
SALEM,Salem-Yesvantpur (via DPJ),12,BYPL,Baiyappanahalli,baiyappanahalli,200.0
SALEM,Salem-Yesvantpur (via DPJ),13,BNCE,Bengaluru East,bengaluru east,203.0
SALEM,Salem-Yesvantpur (via DPJ),14,BNC,Bengaluru Cantt.,bengaluru cantt,205.0
SALEM,Salem-Yesvantpur (via DPJ),15,YPR,Yesvantpur Junction,yesvantpur junction,215.0
SALEM,Salem-Mettur Dam,1,SA,Salem Junction,salem junction,0.0
SALEM,Salem-Mettur Dam,2,OML,Omalur Junction,omalur junction,11.0
SALEM,Salem-Mettur Dam,3,MCRD,Mecheri Road,mecheri road,27.0
SALEM,Salem-Mettur Dam,4,MTDM,Mettur Dam,mettur dam,40.0
SALEM,Coimbatore-Mettupalayam,1,CBE,Coimbatore Junction,coimbatore junction,
SALEM,Coimbatore-Mettupalayam,2,TDE,Thudiyalur,thudiyalur,
SALEM,Coimbatore-Mettupalayam,3,PKD,Periyanaickenpalayam,periyanaickenpalayam,
SALEM,Coimbatore-Mettupalayam,4,KAY,Karaimadai,karaimadai,
SALEM,Coimbatore-Mettupalayam,5,MTP,Mettupalayam,mettupalayam,
SALEM,Nilgiri Mountain Railway,1,MTP,Mettupalayam,mettupalayam,
SALEM,Nilgiri Mountain Railway,2,HLG,Hillgrove,hillgrove,
SALEM,Nilgiri Mountain Railway,3,ONR,Coonoor,coonoor,
SALEM,Nilgiri Mountain Railway,4,WEL,Wellington,wellington,
SALEM,Nilgiri Mountain Railway,5,AVK,Aravankadu,aravankadu,
SALEM,Nilgiri Mountain Railway,6,KXT,Ketti,ketti,
SALEM,Nilgiri Mountain Railway,7,LOV,Lovedale,lovedale,
SALEM,Nilgiri Mountain Railway,8,UAM,Udagamandalam,udagamandalam,
