division,route_line,sequence,station_code,station_name,distance_km_from_origin
CHENNAI,South Line (MS-VM),17,VDR,Vandalur,
CHENNAI,South Line (MS-VM),18,UPM,Urappakkam,
CHENNAI,South Line (MS-VM),19,GI,Guduvancheri,
CHENNAI,South Line (MS-VM),20,POTI,Potheri,
CHENNAI,South Line (MS-VM),21,CTM,Katangulattur,
CHENNAI,South Line (MS-VM),22,MMNK,Maraimalai Nagar Kamarajar,
CHENNAI,South Line (MS-VM),23,SKL,Singaperumal Koil,
CHENNAI,South Line (MS-VM),24,PWU,Paranur,
CHENNAI,South Line (MS-VM),25,CGL,Chengalpattu Junction,
CHENNAI,South Line (MS-VM),26,TRM,Tirumani,
CHENNAI,South Line (MS-VM),27,OV,Otivakkam,
CHENNAI,South Line (MS-VM),28,PTM,Padalam,
CHENNAI,South Line (MS-VM),29,KGZ,Karunguzhi,
CHENNAI,South Line (MS-VM),30,MMK,Madurantakam,
CHENNAI,South Line (MS-VM),31,PAK,Pakkam,
CHENNAI,South Line (MS-VM),32,MLMR,Melmaruvathur,
CHENNAI,South Line (MS-VM),33,ACK,Acharapakkam,
CHENNAI,South Line (MS-VM),34,TZD,Tozhuppu,
CHENNAI,South Line (MS-VM),35,OLA,Olakkur,
CHENNAI,South Line (MS-VM),36,TMV,Tindivanam,
CHENNAI,South Line (MS-VM),37,MTL,Mailam,
CHENNAI,South Line (MS-VM),38,PEI,Perani,
CHENNAI,South Line (MS-VM),39,VV,Vikravandi,
CHENNAI,MRTS (MSB-VLCY),1,MSB,Chennai Beach,
CHENNAI,MRTS (MSB-VLCY),2,MSF,Chennai Fort,
CHENNAI,MRTS (MSB-VLCY),3,MPK,Chennai Park Town,
CHENNAI,MRTS (MSB-VLCY),4,MCPT,Chintadripet,
CHENNAI,MRTS (MSB-VLCY),5,MCPK,Chepauk,
CHENNAI,MRTS (MSB-VLCY),6,MTCN,Tirullikeni,
CHENNAI,MRTS (MSB-VLCY),7,MLHS,Light House,
CHENNAI,MRTS (MSB-VLCY),8,MKAK,Mundakakanni Amman Koil,
CHENNAI,MRTS (MSB-VLCY),9,MTMY,Thirumayilai,
CHENNAI,MRTS (MSB-VLCY),10,MNDY,Mandaveli,
CHENNAI,MRTS (MSB-VLCY),11,GWYR,Greenways Road,
CHENNAI,MRTS (MSB-VLCY),12,KTPM,Kotturpuram,
CHENNAI,MRTS (MSB-VLCY),13,KTBR,Kasturibai Nagar,
CHENNAI,MRTS (MSB-VLCY),14,INDR,Indira Nagar,
CHENNAI,MRTS (MSB-VLCY),15,TYMR,Tiruvanmiyur,
CHENNAI,MRTS (MSB-VLCY),16,TRMN,Taramani,
CHENNAI,MRTS (MSB-VLCY),17,PRGD,Perungudi,
CHENNAI,MRTS (MSB-VLCY),18,VLCY,Velachery,
CHENNAI,Kanchipuram Line (AJJ-CGL),1,AJJ,Arakkonam Junction,
CHENNAI,Kanchipuram Line (AJJ-CGL),2,TKO,Takkolam,
CHENNAI,Kanchipuram Line (AJJ-CGL),3,TMLP,Tirumalpur,
CHENNAI,Kanchipuram Line (AJJ-CGL),4,CJ,Kanchipuram,
CHENNAI,Kanchipuram Line (AJJ-CGL),5,CJE,Kanchipuram East,
CHENNAI,Kanchipuram Line (AJJ-CGL),6,NTT,Nathapettai,
CHENNAI,Kanchipuram Line (AJJ-CGL),7,WJ,Walajabad,
CHENNAI,Kanchipuram Line (AJJ-CGL),8,PYV,Pazhaya Seevaram,
CHENNAI,Kanchipuram Line (AJJ-CGL),9,PALR,Palur,
CHENNAI,Kanchipuram Line (AJJ-CGL),10,VB,Villiyambakkam,
CHENNAI,Kanchipuram Line (AJJ-CGL),11,RDY,Reddipalaiyam,
CHENNAI,Kanchipuram Line (AJJ-CGL),12,CGL,Chengalpattu Junction,
CHENNAI,Arakkonam-Renigunta Border,1,AJJ,Arakkonam Junction,
CHENNAI,Arakkonam-Renigunta Border,2,TRT,Tiruttani,
CHENNAI,Arakkonam-Renigunta Border,3,POI,Ponpadi,
CHENNAI,Arakkonam-Renigunta Border,4,VKZ,Venkatanarasimharajuvaripeta,
CHENNAI,Arakkonam-Renigunta Border,5,NG,Nagari,
CHENNAI,Arakkonam-Renigunta Border,6,EKM,Ekambarakuppam,
CHENNAI,Arakkonam-Renigunta Border,7,VGA,Vepagunta,
CHENNAI,Arakkonam-Renigunta Border,8,PUT,Puttur,
CHENNAI,Arakkonam-Renigunta Border,9,TDK,Taduku,
CHENNAI,Arakkonam-Renigunta Border,10,PUDI,Pudi,
SALEM,Main Line (JTJ-SA-ED-CBE),1,JTJ,Jolarpettai Junction,
SALEM,Main Line (JTJ-SA-ED-CBE),2,TPT,Tirupattur,
SALEM,Main Line (JTJ-SA-ED-CBE),3,MOLK,Molakarampatti,
SALEM,Main Line (JTJ-SA-ED-CBE),4,KEY,Kagankarai,
SALEM,Main Line (JTJ-SA-ED-CBE),5,KNNT,Kunnathur,
SALEM,Main Line (JTJ-SA-ED-CBE),6,SLY,Samalpatti,
SALEM,Main Line (JTJ-SA-ED-CBE),7,DST,Dasampatti,
SALEM,Main Line (JTJ-SA-ED-CBE),8,DPI,Doddampatti,
SALEM,Main Line (JTJ-SA-ED-CBE),9,MAP,Morappur,
SALEM,Main Line (JTJ-SA-ED-CBE),10,TNGR,Thonganur,
SALEM,Main Line (JTJ-SA-ED-CBE),11,BDY,Buddireddipatti,
SALEM,Main Line (JTJ-SA-ED-CBE),12,BQI,Bommidi,
SALEM,Main Line (JTJ-SA-ED-CBE),13,LCR,Lokur,
SALEM,Main Line (JTJ-SA-ED-CBE),14,DSPT,Danishpet,
SALEM,Main Line (JTJ-SA-ED-CBE),15,TNT,Tinnappatti,
SALEM,Main Line (JTJ-SA-ED-CBE),16,KPPR,Karuppur,
SALEM,Main Line (JTJ-SA-ED-CBE),17,MGSJ,Magnesite Junction,
SALEM,Main Line (JTJ-SA-ED-CBE),18,SA,Salem Junction,
SALEM,Main Line (JTJ-SA-ED-CBE),19,NEA,Neykkarapatti,
SALEM,Main Line (JTJ-SA-ED-CBE),20,VRPD,Virapandy Road,
SALEM,Main Line (JTJ-SA-ED-CBE),21,DC,Magudanchavadi,
SALEM,Main Line (JTJ-SA-ED-CBE),22,MVPM,Mavelipalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),23,SGE,Sankaridurg,
SALEM,Main Line (JTJ-SA-ED-CBE),24,ANU,Anangur,
SALEM,Main Line (JTJ-SA-ED-CBE),25,CV,Cauvery,
SALEM,Main Line (JTJ-SA-ED-CBE),26,ED,Erode Junction,
SALEM,Main Line (JTJ-SA-ED-CBE),27,TPM,Totiyapalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),28,PY,Perundurai,
SALEM,Main Line (JTJ-SA-ED-CBE),29,IGR,Ingur,
SALEM,Main Line (JTJ-SA-ED-CBE),30,VZ,Vijayamangalam,
SALEM,Main Line (JTJ-SA-ED-CBE),31,UKL,Uttukuli,
SALEM,Main Line (JTJ-SA-ED-CBE),32,KUY,Kulipalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),33,TUP,Tiruppur,
SALEM,Main Line (JTJ-SA-ED-CBE),34,VNJ,Vanjipalayam,
SALEM,Main Line (JTJ-SA-ED-CBE),35,SNO,Somanur,
SALEM,Main Line (JTJ-SA-ED-CBE),36,SUU,Sulur Road,
SALEM,Main Line (JTJ-SA-ED-CBE),37,IGU,Irugur Junction,
SALEM,Main Line (JTJ-SA-ED-CBE),38,SIH,Singanallur,
SALEM,Main Line (JTJ-SA-ED-CBE),39,PLMD,Pilamedu,
SALEM,Main Line (JTJ-SA-ED-CBE),40,CBF,Coimbatore North Junction,
SALEM,Main Line (JTJ-SA-ED-CBE),41,CBE,Coimbatore Junction,
SALEM,Salem-Namakkal-Karur-Dindigul,1,SA,Salem Junction,
SALEM,Salem-Namakkal-Karur-Dindigul,2,MALR,Mallur,
SALEM,Salem-Namakkal-Karur-Dindigul,3,RASP,Rasipuram,
SALEM,Salem-Namakkal-Karur-Dindigul,4,KLGN,Kalangani,
SALEM,Salem-Namakkal-Karur-Dindigul,5,NMKL,Namakkal,
SALEM,Salem-Namakkal-Karur-Dindigul,6,MONR,Mohanur,
SALEM,Salem-Namakkal-Karur-Dindigul,7,VNGL,Vangal,
SALEM,Salem-Namakkal-Karur-Dindigul,8,KRR,Karur Junction,
SALEM,Salem-Namakkal-Karur-Dindigul,9,VEI,Velliyanai,
SALEM,Salem-Namakkal-Karur-Dindigul,10,PALM,Palaiyam,
SALEM,Salem-Namakkal-Karur-Dindigul,11,ERI,Eriodu,
SALEM,Salem-Namakkal-Karur-Dindigul,12,DG,Dindigul Junction,
SALEM,Erode-Trichy via Karur,1,ED,Erode Junction,
SALEM,Erode-Trichy via Karur,2,CVD,Chavadipalaiyam,
SALEM,Erode-Trichy via Karur,3,PAS,Pasur,
SALEM,Erode-Trichy via Karur,4,URL,Unjalur,
SALEM,Erode-Trichy via Karur,5,KMD,Kodumudi,
SALEM,Erode-Trichy via Karur,6,PGR,Pugalur,
SALEM,Erode-Trichy via Karur,7,MPLM,Murthipalayam,
SALEM,Erode-Trichy via Karur,8,KRR,Karur Junction,
SALEM,Erode-Trichy via Karur,9,VRQ,Virarakkiyam,
SALEM,Erode-Trichy via Karur,10,MYU,Mayanoor,
SALEM,Erode-Trichy via Karur,11,SEV,Sithalavai,
SALEM,Erode-Trichy via Karur,12,MMH,Mahadanapuram,
SALEM,Erode-Trichy via Karur,13,LP,Lalapet,
SALEM,Erode-Trichy via Karur,14,TIC,Timmachipuram,
SALEM,Erode-Trichy via Karur,15,KLT,Kulitalai,
SALEM,Erode-Trichy via Karur,16,PLI,Pettaivaytalai,
SALEM,Erode-Trichy via Karur,17,PGN,Perugamani,
SALEM,Erode-Trichy via Karur,18,EL,Elamanur,
SALEM,Erode-Trichy via Karur,19,JPM,Jiyapuram,
SALEM,Erode-Trichy via Karur,20,MTNL,Muttarasanallur,
SALEM,Erode-Trichy via Karur,21,TP,Tiruchirappalli Fort,
SALEM,Erode-Trichy via Karur,22,TPE,Tiruchchirappalli Palakkarai,
SALEM,Erode-Trichy via Karur,23,TPJ,Tiruchirappalli Junction,
SALEM,Salem-Vridhachalam,1,SA,Salem Junction,
SALEM,Salem-Vridhachalam,2,SXT,Salem Town,
SALEM,Salem-Vridhachalam,3,APN,Ayodhyapattanam,
SALEM,Salem-Vridhachalam,4,MPL,Minnampalli,
SALEM,Salem-Vridhachalam,5,VGE,Valappadi Gate,
SALEM,Salem-Vridhachalam,6,ETP,Ettapur Road,
SALEM,Salem-Vridhachalam,7,PDKM,Pedanayakanpalayam,
SALEM,Salem-Vridhachalam,8,ATU,Attur,
SALEM,Salem-Vridhachalam,9,TVS,Talaivasal,
SALEM,Salem-Vridhachalam,10,MLYR,Melnariyappanur,
SALEM,Salem-Vridhachalam,11,CHSM,Chinna Salem,
SALEM,Salem-Vridhachalam,12,SRVT,Siruvattur,
SALEM,Salem-Vridhachalam,13,PRV,Pukkiravari,
SALEM,Salem-Vridhachalam,14,KKTI,Kuttakudi,
SALEM,Salem-Vridhachalam,15,MKSP,Mukhasaparur,
SALEM,Salem-Vridhachalam,16,VRI,Vridhachalam Junction,
SALEM,Salem-KSR Bengaluru (via DPJ),1,SA,Salem Junction,0.0
SALEM,Salem-KSR Bengaluru (via DPJ),2,OML,Omalur Junction,11.0
SALEM,Salem-KSR Bengaluru (via DPJ),3,TGN,Tholasampatti,19.0
SALEM,Salem-KSR Bengaluru (via DPJ),4,TOP,Toppur,34.0
SALEM,Salem-KSR Bengaluru (via DPJ),5,DPJ,Dharmappuri,66.0
SALEM,Salem-KSR Bengaluru (via DPJ),6,PCV,Palakkodu,92.0
SALEM,Salem-KSR Bengaluru (via DPJ),7,RYC,Rayakottai,124.0
SALEM,Salem-KSR Bengaluru (via DPJ),8,HSRA,Hosur,159.0
SALEM,Salem-KSR Bengaluru (via DPJ),9,AQL,Anekal Road,173.0
SALEM,Salem-KSR Bengaluru (via DPJ),10,HLE,Heelalige,183.0
SALEM,Salem-KSR Bengaluru (via DPJ),11,CRLM,Carmelaram,193.0
SALEM,Salem-KSR Bengaluru (via DPJ),12,BYPL,Baiyappanahalli,200.0
SALEM,Salem-KSR Bengaluru (via DPJ),13,BNCE,Bengaluru East,203.0
SALEM,Salem-KSR Bengaluru (via DPJ),14,BNC,Bengaluru Cantt.,205.0
SALEM,Salem-KSR Bengaluru (via DPJ),15,SBC,KSR Bengaluru City,209.0
SALEM,Salem-SMVT Bengaluru (via DPJ),1,SA,Salem Junction,0.0
SALEM,Salem-SMVT Bengaluru (via DPJ),2,OML,Omalur Junction,11.0
SALEM,Salem-SMVT Bengaluru (via DPJ),3,TGN,Tholasampatti,19.0
SALEM,Salem-SMVT Bengaluru (via DPJ),4,TOP,Toppur,34.0
SALEM,Salem-SMVT Bengaluru (via DPJ),5,DPJ,Dharmappuri,66.0
SALEM,Salem-SMVT Bengaluru (via DPJ),6,PCV,Palakkodu,92.0
SALEM,Salem-SMVT Bengaluru (via DPJ),7,RYC,Rayakottai,124.0
SALEM,Salem-SMVT Bengaluru (via DPJ),8,HSRA,Hosur,159.0
SALEM,Salem-SMVT Bengaluru (via DPJ),9,AQL,Anekal Road,173.0
SALEM,Salem-SMVT Bengaluru (via DPJ),10,HLE,Heelalige,183.0
SALEM,Salem-SMVT Bengaluru (via DPJ),11,CRLM,Carmelaram,193.0
SALEM,Salem-SMVT Bengaluru (via DPJ),12,BYPL,Baiyappanahalli,200.0
SALEM,Salem-SMVT Bengaluru (via DPJ),13,SMVB,SMVT Bengaluru,211.0
SALEM,Salem-Yesvantpur (via DPJ),1,SA,Salem Junction,0.0
SALEM,Salem-Yesvantpur (via DPJ),2,OML,Omalur Junction,11.0
SALEM,Salem-Yesvantpur (via DPJ),3,TGN,Tholasampatti,19.0
SALEM,Salem-Yesvantpur (via DPJ),4,TOP,Toppur,34.0
